---Resultados de servidores ejercicio 1---
Servidor;Tareas;Carga(%);Peticiones/s
Servidor6;21932;36,158;150,449
Servidor7;22058;36,3634;151,312
Servidor8;21626;35,5261;148,349

Servidor9;23944;39,0732;163,158
Servidor0;24052;39,3397;163,898
Servidor1;24112;39,4926;164,306
Servidor2;23817;38,7999;162,296
Servidor3;23980;38,6569;163,406
Servidor4;24156;39,5105;164,605
Servidor5;23954;39,0306;163,228
Servidor6;23989;38,9299;163,466
Servidor7;23976;38,9973;163,377
Servidor8;24020;38,9897;163,676

Servidor9;26063;41,6523;174,841
Servidor0;25898;41,6393;173,738
Servidor1;26242;42,1765;176,045
Servidor2;25761;41,51;172,818
Servidor3;25966;41,6136;174,193
Servidor4;25964;41,6028;174,179
Servidor5;26234;41,9047;175,99
Servidor6;26002;41,6154;174,433
Servidor7;26128;41,7519;175,278
Servidor8;25742;41,1935;172,688

Servidor9;28113;44,5364;185,446
Servidor0;27883;43,8076;183,933
Servidor1;28165;44,3877;185,793
Servidor2;28160;44,2453;185,759
Servidor3;27965;44,2368;184,472
Servidor4;27974;43,8533;184,531
Servidor5;27880;43,7472;183,911
Servidor6;27996;43,9855;184,675
Servidor7;27989;44,5619;184,629
Servidor8;27875;43,8428;183,876

Servidor9;29981;47,1583;195,293
Servidor0;29782;46,0268;194,002
Servidor1;30086;46,7438;195,981
Servidor2;30037;46,6462;195,662
Servidor3;30197;46,9873;196,703
Servidor4;30133;46,9065;196,286
Servidor5;30023;46,7814;195,569
Servidor6;29713;46,4188;193,549
Servidor7;30025;46,7793;195,581
Servidor8;30023;46,7463;195,567

Servidor9;31943;48,7911;204,979
Servidor0;31743;48,7147;203,7
Servidor1;31790;48,7848;204,001
Servidor2;32210;49,9154;206,696
Servidor3;32051;49,1555;205,675
Servidor4;32306;50,0279;207,311
Servidor5;31916;49,2234;204,808
Servidor6;32052;49,3386;205,68
Servidor7;31957;49,3195;205,07
Servidor8;32032;48,9358;205,551

Servidor9;33805;51,0929;213,808
Servidor0;34107;51,7982;215,723
Servidor1;34286;52,0714;216,854
Servidor2;33940;51,1821;214,665
Servidor3;33945;50,6897;214,696
Servidor4;33989;51,2226;214,974
Servidor5;34145;51,9225;215,96
Servidor6;34063;51,8683;215,441
Servidor7;33726;51,1731;213,309
Servidor8;33994;51,4513;215,004

Servidor9;35769;52,8048;220,905
Servidor0;36095;53,6143;222,923
Servidor1;36119;53,1682;223,071
Servidor2;36029;53,0516;222,515
Servidor3;35923;53,034;221,859
Servidor4;36042;53,6034;222,594
Servidor5;36064;52,9202;222,729
Servidor6;35912;53,1443;221,79
Servidor7;35795;53,1284;221,067
Servidor8;36252;53,7304;223,889

Servidor9;38369;56,1616;232,213
Servidor0;37691;54,4403;228,115
Servidor1;38138;55,0475;230,82
Servidor2;38219;55,3101;231,309
Servidor3;37711;54,697;228,234
Servidor4;37982;54,6553;229,874
Servidor5;37880;54,6354;229,256
Servidor6;38087;55,3858;230,508
Servidor7;38099;55,5207;230,58
Servidor8;37824;54,7285;228,916

Servidor9;40150;57,6288;239,057
Servidor0;40240;57,1541;239,598
Servidor1;40078;57,0767;238,633
Servidor2;39636;56,2832;236 
Servidor3;40184;57,3514;239,263
Servidor4;39890;56,8789;237,512
Servidor5;39892;57,0648;237,523
Servidor6;39967;56,8734;237,969
Servidor7;40125;57,3629;238,909
Servidor8;39838;56,8475;237,2

Servidor9;42125;58,8437;245,204
Servidor0;42005;58,1085;244,511
Servidor1;41887;58,5912;243,824
Servidor2;42151;58,6109;245,36
Servidor3;42109;58,3324;245,115
Servidor4;41966;58,4145;244,282
Servidor5;41702;57,7391;242,744
Servidor6;41923;58,1582;244,03
Servidor7;41949;58,1062;244,181
Servidor8;42183;58,3789;245,543

Servidor9;44046;59,4823;249,292
Servidor0;44038;59,5156;249,252
Servidor1;43952;59,4752;248,764
Servidor2;43778;59,1593;247,779
Servidor3;43951;59,4866;248,758
Servidor4;43540;59,1766;246,431
Servidor5;43964;59,7991;248,83
Servidor6;44280;59,8872;250,618
Servidor7;43968;59,9415;248,852
Servidor8;44483;60,0303;251,766

Servidor9;46045;60,4729;253,226
Servidor0;46011;60,8049;253,043
Servidor1;46026;60,6352;253,125
Servidor2;45849;60,1748;252,151
Servidor3;46303;60,6477;254,648
Servidor4;45963;60,6801;252,777
Servidor5;45773;60,133;251,732
Servidor6;46052;60,6015;253,266
Servidor7;45859;59,8814;252,204
Servidor8;46119;60,7861;253,633

Servidor9;47890;61,3071;255,258
Servidor0;47867;60,5913;255,141
Servidor1;48223;61,4959;257,038
Servidor2;47980;61,5415;255,742
Servidor3;47759;60,4688;254,563
Servidor4;47927;61,0076;255,458
Servidor5;48377;62,0763;257,856
Servidor6;47798;61,0118;254,77
Servidor7;48088;61,1628;256,315
Servidor8;48091;61,6666;256,33

Servidor9;50058;62,0403;258,327
Servidor0;49889;61,6266;257,46
Servidor1;49888;61,5956;257,454
Servidor2;50074;62,2306;258,413
Servidor3;50119;62,3857;258,645
Servidor4;50170;61,7547;258,908
Servidor5;49751;62,0608;256,745
Servidor6;50374;62,4112;259,959
Servidor7;49826;61,3813;257,131
Servidor8;49851;61,3153;257,259
