---Resultados de servidores ejercicio 1---
Servidor;Tareas;Carga(%);Peticiones/s
Servidor4;21680;35,7612;149,7
Servidor5;21940;36,232;151,495
Servidor6;21992;36,499;151,854
Servidor7;21604;35,8783;149,174
Servidor8;22170;36,1183;153,082

Servidor9;24091;39,0181;162,819
Servidor0;24061;38,9787;162,62
Servidor1;23831;38,8319;161,065
Servidor2;23991;38,7356;162,146
Servidor3;23874;38,5164;161,354
Servidor4;24249;39,0285;163,889
Servidor5;23888;38,5874;161,448
Servidor6;23772;37,9477;160,664
Servidor7;24050;38,7521;162,542
Servidor8;24193;38,9867;163,508

Servidor9;25926;41,8885;174,517
Servidor0;26092;41,8462;175,639
Servidor1;25993;41,8005;174,972
Servidor2;26111;42,1119;175,766
Servidor3;26052;41,9557;175,368
Servidor4;25784;41,595;173,564
Servidor5;26121;41,942;175,832
Servidor6;25892;41,6616;174,29
Servidor7;26132;41,9041;175,905
Servidor8;25897;41,6997;174,322

Servidor9;27957;44,4821;185,336
Servidor0;27768;44,6127;184,087
Servidor1;28515;45,3784;189,039
Servidor2;28041;44,518;185,896
Servidor3;27986;44,1526;185,531
Servidor4;27890;44,5809;184,894
Servidor5;28017;44,7907;185,736
Servidor6;27857;44,2852;184,675
Servidor7;28157;44,9303;186,663
Servidor8;27812;44,2821;184,375

Servidor9;30001;47,0447;195,894
Servidor0;29991;47,0867;195,833
Servidor1;30017;47,3219;196,002
Servidor2;30181;47,1126;197,073
Servidor3;30136;47,071;196,778
Servidor4;30023;46,8465;196,04
Servidor5;29733;46,5706;194,146
Servidor6;29898;46,6244;195,223
Servidor7;30086;46,968;196,45
Servidor8;29934;46,7197;195,457

Servidor9;31968;49,0213;204,444
Servidor0;31859;48,5167;203,751
Servidor1;31967;48,9763;204,441
Servidor2;32057;49,1085;205,016
Servidor3;31810;48,814;203,436
Servidor4;32048;48,8429;204,958
Servidor5;32054;48,9969;204,996
Servidor6;32283;49,6022;206,46
Servidor7;31886;49,0194;203,92
Servidor8;32068;49,0547;205,084

Servidor9;34134;51,4423;215,186
Servidor0;34074;51,4212;214,813
Servidor1;34106;51,4151;215,014
Servidor2;34143;51,1873;215,247
Servidor3;33759;50,7468;212,825
Servidor4;34281;52,3323;216,116
Servidor5;33751;50,5396;212,774
Servidor6;33772;50,7622;212,906
Servidor7;34117;51,2969;215,08
Servidor8;33863;51,1684;213,479

Servidor9;35984;53,6044;222,929
Servidor0;35869;53,5696;222,222
Servidor1;36160;53,3917;224,024
Servidor2;35869;52,7511;222,22
Servidor3;36201;53,3243;224,277
Servidor4;36171;53,7946;224,09
Servidor5;35901;53,0245;222,417
Servidor6;35768;53,1496;221,593
Servidor7;36161;53,7185;224,027
Servidor8;35916;53,2812;222,508

Servidor9;37950;54,7748;228,861
Servidor0;37911;54,4578;228,63
Servidor1;37849;54,3247;228,256
Servidor2;38308;55,2095;231,024
Servidor3;37683;54,1598;227,254
Servidor4;38133;55,015;229,967
Servidor5;37726;54,6012;227,512
Servidor6;37908;54,6725;228,609
Servidor7;38695;56,2137;233,355
Servidor8;37837;54,6715;228,18

Servidor9;40157;56,7106;238,67
Servidor0;39958;56,8048;237,492
Servidor1;40235;57,3974;239,138
Servidor2;39617;56,5127;235,464
Servidor3;40072;57,1296;238,168
Servidor4;39975;56,6707;237,591
Servidor5;39955;56,611;237,472
Servidor6;40035;56,6921;237,947
Servidor7;39757;56,5127;236,294
Servidor8;40239;57,608;239,158

Servidor9;42169;58,1662;244,092
Servidor0;42153;58,4815;244,005
Servidor1;41784;57,4407;241,868
Servidor2;41747;58,0004;241,653
Servidor3;41849;57,8035;242,243
Servidor4;41945;58,0259;242,798
Servidor5;42010;57,9173;243,174
Servidor6;42224;58,325;244,412
Servidor7;41843;58,2843;242,206
Servidor8;42276;58,0965;244,712

Servidor9;44059;59,2889;248,449
Servidor0;44027;59,2618;248,273
Servidor1;44049;59,973;248,397
Servidor2;43934;59,2554;247,748
Servidor3;44075;59,546;248,542
Servidor4;43646;58,4446;246,122
Servidor5;43873;59,0842;247,402
Servidor6;44122;59,3967;248,806
Servidor7;44056;59,1444;248,433
Servidor8;44159;59,3317;249,013

Servidor9;46018;60,4998;252,797
Servidor0;46014;60,5088;252,78
Servidor1;45884;60,1279;252,065
Servidor2;45967;60,3877;252,52
Servidor3;45918;60,5391;252,251
Servidor4;46166;60,9143;253,612
Servidor5;46266;60,8031;254,161
Servidor6;45883;60,2059;252,057
Servidor7;45877;60,3474;252,023
Servidor8;46007;60,4303;252,737

Servidor9;47937;60,9417;254,746
Servidor0;48048;61,376;255,34
Servidor1;47981;61,0196;254,984
Servidor2;47984;60,8924;254,999
Servidor3;47600;60,5764;252,958
Servidor4;48071;61,6415;255,46
Servidor5;48153;61,3757;255,896
Servidor6;48283;61,6969;256,586
Servidor7;48023;60,9688;255,204
Servidor8;47920;61,3119;254,656

Servidor9;49814;61,6019;255,57
Servidor0;50499;61,6877;259,089
Servidor1;49761;60,841;255,302
Servidor2;49929;61,4039;256,163
Servidor3;49848;60,5537;255,747
Servidor4;50326;61,3559;258,199
Servidor5;49609;60,8919;254,52
Servidor6;50189;61,6487;257,495
Servidor7;50040;61,366;256,73
Servidor8;49985;60,9646;256,448
